model,R2_train,MAE_train,RMSE_train,R2_test,MAE_test,RMSE_test,rep
SVR,0.5402513622093805,33.35311413976295,46.295152329509534,0.41168189670244937,31.67614806824614,45.08735644524107,15
Random Forest,0.9605410979088469,9.559544059828989,13.562751060019917,0.7517791159436831,20.64894547008542,29.2865237850042,15
LightGBM,0.9355776655525776,12.255058265776016,17.329798815328456,0.7448160101054148,20.491924274963832,29.694456319904532,15
XGBoost,0.9851120954243187,4.32813469519982,8.330903044046456,0.6713616098143589,20.40105799748347,33.69828613910114,15
DNN,0.8507770276872113,18.51388271522976,26.375040489785913,0.27809136819489244,33.80699277118502,49.94474311284733,15
Ensemble (XGB+LGBM),0.971213003109979,7.665466280035357,11.584398062553305,0.7261136618388311,19.557447885772927,30.763365909849398,15
SVR,0.4984959475736179,34.3781468697592,47.688604841127734,0.29157841583886435,34.99248856538547,49.73282810297453,16
Random Forest,0.967350016273471,8.294037820512777,12.167990957215459,0.7195238390487149,21.936070549450704,31.292858855160887,16
LightGBM,0.9535195969722589,10.120633006730877,14.51818533843646,0.7180371326495995,23.535744096689626,31.375685511912632,16
XGBoost,0.9846329797330028,4.319776787391076,8.347803656505796,0.7384305916007445,21.316956223707933,30.219741089406337,16
DNN,0.8353725878959014,19.709180181157524,27.32300548762462,0.6048337669402402,29.566315655383715,37.14387230503276,16
Ensemble (XGB+LGBM),0.9757216370570962,6.713302801395109,10.492696073394452,0.7485604408836698,20.703152600427046,29.628800336303172,16
SVR,0.466776352813686,34.161420399828934,47.39998327026946,0.546548387075452,38.56684739466483,48.73395335483706,17
Random Forest,0.9552037581039733,9.201047521367471,13.738656916672195,0.8239069524865394,22.41973794871794,30.369474178275368,17
LightGBM,0.939138634837304,11.105558041389703,16.01379751015452,0.8477247262426619,20.13956502425924,28.241051464978554,17
XGBoost,0.9763743955807211,5.179835527860202,9.977344131111746,0.8470229342999213,18.59507747552334,28.306054006015426,17
DNN,0.7364981417705381,25.419221018687697,33.32079302688227,0.7394188051982152,29.46996322371736,36.94347154611959,17
Ensemble (XGB+LGBM),0.96577024091721,7.554761242745721,12.009513345250674,0.8554456813431167,18.005112452675046,27.515772071718278,17
SVR,0.4968699297654857,32.9610220526243,45.48857713547804,0.46152981915891766,42.375177739362016,54.98553393455414,18
Random Forest,0.957022013695033,8.717883760683723,13.294905261181412,0.8080711748681337,23.118160537240513,32.82749319338252,18
LightGBM,0.9432839186709981,10.380281104027882,15.272682508185856,0.8490417763317586,21.307304693790538,29.113606377773227,18
