protocol,rep,R2,MAE,RMSE
Random (80/20 repeated),61,0.4317506156571309,38.51855381897852,45.88730517357069
Random (80/20 repeated),62,0.4699887099255077,41.501987120203765,48.89750116064
Random (80/20 repeated),63,0.4384404702968686,33.926365862023594,40.05939944507046
Random (80/20 repeated),64,0.2275922061546306,41.49574121322415,49.31363977246224
Random (80/20 repeated),65,0.5732194789722154,34.15899953126327,40.83864305710438
Random (80/20 repeated),66,0.569384282570735,33.407899204779255,38.7214608994575
Random (80/20 repeated),67,0.5322445354837506,39.097235522102984,46.502685082446085
Random (80/20 repeated),68,0.42105153631731185,40.00936683265986,46.91482047577187
Random (80/20 repeated),69,0.2954829128805365,36.92399754257023,54.721115585173926
Random (80/20 repeated),70,0.6613845780364316,34.42423271737225,40.58188386930176
Random (80/20 repeated),71,0.4838032733938413,33.57133734615408,39.72789962949115
Random (80/20 repeated),72,0.34413677117032626,41.02726253384531,49.58061261373005
Random (80/20 repeated),73,0.3989839107008769,35.8214077548753,42.677838526135076
Random (80/20 repeated),74,0.4778090924808236,46.82129588101192,54.98582261617182
Random (80/20 repeated),75,0.615887162991288,37.684765597619,44.781329966287075
Random (80/20 repeated),76,0.6214541476146906,32.53773378364792,39.215435353316394
Random (80/20 repeated),77,0.4689223958074321,37.833959981726125,46.28535092373953
Random (80/20 repeated),78,0.4753984756706926,34.35855697663625,42.821821610292204
Random (80/20 repeated),79,0.516947355773903,37.594286973869664,46.591864830207605
Random (80/20 repeated),80,-0.3156691465809851,47.39381487868707,65.77131260986984
Random (80/20 repeated),81,0.5309785359401585,34.66895905666744,43.21444401665014
Random (80/20 repeated),82,0.6730221875087352,35.79886349951067,43.82169231847815
Random (80/20 repeated),83,0.6694749668902304,37.12014339753646,44.77329336657094
Random (80/20 repeated),84,0.10943382802312829,42.64551063051031,60.75517650209583
Random (80/20 repeated),85,0.47115292229761896,40.756948317237025,47.353302446326666
Random (80/20 repeated),86,0.06142865214949578,39.032929559732615,54.41799445039086
Random (80/20 repeated),87,0.577197472180337,28.931693652721776,37.61019800281543
Random (80/20 repeated),88,-0.031446408475823695,44.42444874516591,64.18342284328484
Random (80/20 repeated),89,0.49736887455320633,39.56722998437427,49.29090981026486
Random (80/20 repeated),90,0.14290510045319305,45.64313940882148,62.760674142555736
Random (80/20 repeated),91,0.6216946822719305,33.32232643086166,42.67124294580749
Random (80/20 repeated),92,0.5338456936064895,33.42134775009304,39.66271455065862
Random (80/20 repeated),93,0.5948605628992889,34.98276584123949,41.04213631207878
Random (80/20 repeated),94,0.6673880569235633,33.15022081711506,42.8832662526609
Random (80/20 repeated),95,0.3546954855577885,41.49526123601572,49.24844339358294
Random (80/20 repeated),96,0.10366893030284552,41.72629773781963,59.13702704816841
Random (80/20 repeated),97,0.6643247014572458,31.234942566961372,36.160063903112295
Random (80/20 repeated),98,0.6068727091085742,35.15458990829357,42.158810444134446
Random (80/20 repeated),99,0.48190162298515316,42.21416943735937,51.512538822528654
Random (80/20 repeated),100,0.6008003418022507,35.04519181735283,43.45117942861098
Random (80/20 repeated),101,0.4359841760210921,35.31385033812717,42.58855249271805
Random (80/20 repeated),102,0.43395425088704587,40.40087856465673,49.29919535981624
Random (80/20 repeated),103,0.32593659354537363,41.79945957364211,57.928069123646
Random (80/20 repeated),104,0.4427072059234656,40.76034349282034,49.150408542499
Random (80/20 repeated),105,0.3452840212253878,40.71964558116931,48.57343378271727
Random (80/20 repeated),106,0.5836274373147212,33.21942045774323,40.176518671467456
Random (80/20 repeated),107,0.5402585594626543,33.35919583715773,39.70176995660774
Random (80/20 repeated),108,0.6344313743056056,35.56940055344892,40.5549585379842
Random (80/20 repeated),109,0.4593166364688247,40.958532407863814,49.93889595808203
Random (80/20 repeated),110,0.60561992822517,31.313053252957708,39.684369665276996
Random (80/20 repeated),111,0.258344373910244,39.3629703134727,57.88816504669578
Random (80/20 repeated),112,0.66067702501761,35.248024905236655,42.712496740288024
Random (80/20 repeated),113,0.46525347061087063,39.538884757663325,48.52091557392623
Random (80/20 repeated),114,0.023424285250246202,46.90950457916857,63.38991896099888
Random (80/20 repeated),115,0.676362123020928,30.46771510218451,35.05212572408195
Random (80/20 repeated),116,0.40727443978609124,39.612320012163714,50.088848473835746
